statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23131;Diagnoses of hospital in-patients;JAHR;Year;2018;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-Z00-Z99;Factors infl. health status,contact w.health serv.;691362;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2015;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-H00-H59;Diseases of the eye and adnexa;340368;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2021;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-D50-D90;Diseases of the blood and blood-forming organs etc;112429;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2019;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-A00-B99;Certain infectious and parasitic diseases;641427;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2019;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-N00-N99;Diseases of the genitourinary system;1095621;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-R00-R99;Symptoms,signs, abn.clinical,labor.findings n.e.c.;715507;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2020;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-N00-N99;Diseases of the genitourinary system;979773;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-M00-M99;Diseases of the musculoskeletal sys.a.conn.tissue;1517912;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2017;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-P00-P96;Certain cond. originating in the perinatal period;207724;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2018;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-E00-E90;Endocrine, nutritional and metabolic diseases;539143;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2020;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-U00-U85;Key numbers for special purposes;211;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2015;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-F00-F99;Mental and behavioural disorders;1230330;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2015;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-O00-O99;Pregnancy childbirth and the puerperium;1015451;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2021;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-I00-I99;Diseases of the circulatory system;2564414;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2021;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-D00-D48;Remaining neoplasms;332219;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-H00-H59;Diseases of the eye and adnexa;311446;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2016;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-E00-E90;Endocrine, nutritional and metabolic diseases;524046;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2016;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-K00-K93;Diseases of the digestive system;1968771;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2016;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-A00-B99;Certain infectious and parasitic diseases;639363;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2024;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-C00-C97;Malignant neoplasms;1454903;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2022;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-S00-T98;Injury,poisoning,other consequences of ext. causes;1776387;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2020;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-L00-L99;Diseases of the skin and subcutaneous tissue;238631;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2019;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-U00-U85;Key numbers for special purposes;34;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2021;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-N00-N99;Diseases of the genitourinary system;966060;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2018;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-H60-H95;Diseases of the ear and mastoid process;154521;number;GES025;Patients discharged from hospital;e
23131;Diagnoses of hospital in-patients;JAHR;Year;2018;DINSG;Germany;DG;Germany;ICD10A;ICD-10 (1-digit codes) main diagnosis;ICD10-Q00-Q99;Congenital malformations,deformations,chromos.abn.;106595;number;GES025;Patients discharged from hospital;e
